機種名,規格,廠商,站數,有庫存,最低價,最高價,價差,價差%,最便宜店家,ホームスロット 價格,ホームスロット 連結,A-SLOT 價格,A-SLOT 連結,イニシャルP (FC2) 價格,イニシャルP (FC2) 連結,行情排名,行情價,本週漲跌,上市週數,備註
CRカウボーイビバップ99.9ver.,,平和,1,否,71600,71600,0,0.0,ホームスロット,71600,https://home-slot.net/SHOP/p-heiwa124.html,,,,,,-,,,
CRコブラ~追憶のシンフォニア~N T,,ニューギン,1,否,52600,52600,0,0.0,ホームスロット,52600,https://home-slot.net/SHOP/p-newgin159.html,,,,,,-,,,
CRサイボーグ009VSデビルマン,,ニューギン,1,否,92400,92400,0,0.0,ホームスロット,92400,https://home-slot.net/SHOP/p-newgin162.html,,,,,,-,,,
CRスーパー海物語 IN 沖縄3 桜ライト,,SANYO,1,否,65300,65300,0,0.0,ホームスロット,65300,https://home-slot.net/SHOP/p-sanyo75.html,,,,,,-,,,
CRスーパー海物語IN沖縄4MTBZ,,SANYO,1,否,52600,52600,0,0.0,ホームスロット,52600,https://home-slot.net/SHOP/p-sanyo116.html,,,,,,-,,,
CRスーパー海物語 M55W 2ch対応,,SANYO,1,否,44278,44278,0,0.0,ホームスロット,44278,https://home-slot.net/SHOP/p-sanyo6.html,,,,,,-,,,
CRドラセグ99ver. 2ch対応,,SANYO,1,否,52600,52600,0,0.0,ホームスロット,52600,https://home-slot.net/SHOP/p-sanyo68.html,,,,,,-,,,
CRバイオハザード0 スウィートver.,,大一,1,否,89800,89800,0,0.0,ホームスロット,89800,https://home-slot.net/SHOP/p-daiichi86.html,,,,,,-,,,
CRバジリスク~甲賀忍法帖~天膳の章,,メーシー,1,否,86000,86000,0,0.0,ホームスロット,86000,https://home-slot.net/SHOP/p-macy201.html,,,,,,-,,,
CRバックトゥザフューチャー FVWA,,Sammy,1,否,201200,201200,0,0.0,ホームスロット,201200,https://home-slot.net/SHOP/p-sammy5.html,,,,,,-,,,
CRフィーバーバニー&バニー114. over.,,SANKYO,1,否,52600,52600,0,0.0,ホームスロット,52600,https://home-slot.net/SHOP/p-sankyo131.html,,,,,,-,,,
CRフィーバーマクロスフロンティア3,,SANKYO,1,是,116000,116000,0,0.0,ホームスロット,116000,https://home-slot.net/SHOP/p-sankyo214.html,,,,,,-,,,
CR不二子~Lupin The End~,,平和,1,否,59000,59000,0,0.0,ホームスロット,59000,https://home-slot.net/SHOP/p-heiwa165.html,,,,,,-,,,
CR南国育ちin沖縄9AW 甘デジ,,平和,1,否,52600,52600,0,0.0,ホームスロット,52600,https://home-slot.net/SHOP/p-heiwa79.html,,,,,,-,,,
CR吉宗4 天昇飛躍の極 99ver.,,大都技研,1,否,65300,65300,0,0.0,ホームスロット,65300,https://home-slot.net/SHOP/p-daito200.html,,,,,,-,,,
CR嘉門達夫のたのしい昔話N TX,,ニューギン,1,否,49015,49015,0,0.0,ホームスロット,49015,https://home-slot.net/SHOP/p-newgin22.html,,,,,,-,,,
CR地獄少女 宵伽FPU 着物Ver,,藤商事,1,否,62800,62800,0,0.0,ホームスロット,62800,https://home-slot.net/SHOP/p-fuji154.html,,,,,,-,,,
